Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
PBR,14.8,Call,15,2023-06-30,9,0.25,0.27,0.28,0.27,22195,203,109.33,42.52%,0.400426,"11:08 ET"
PSNY,3.62,Call,6,2024-01-19,212,0.31,0.33,0.35,0.35,7504,132,56.85,81.31%,0.322754,"10:35 ET"
BAC,28.84,Call,23,2023-07-21,30,6.05,6.1,6.15,5.95,14700,390,37.69,57.29%,0.929339,"10:49 ET"
AMD,112.93,Call,113,2023-06-23,2,1.59,1.6,1.6,1.59,6684,187,35.74,62.42%,0.42902,"11:12 ET"
AAL,16.17,Put,16,2023-07-14,23,0.45,0.46,0.48,0.42,6741,214,31.5,32.30%,-0.452031,"11:05 ET"
MARA,12.25,Put,12,2023-06-23,2,0.45,0.46,0.47,0.49,8005,305,26.25,182.50%,-0.368472,"11:12 ET"
AMD,112.93,Call,114,2023-06-23,2,1.22,1.23,1.24,1.24,5063,270,18.75,63.21%,0.357783,"11:12 ET"
AMD,112.93,Put,103,2023-06-23,2,0.13,0.14,0.14,0.14,10512,578,18.19,71.46%,-0.054644,"11:12 ET"
SPOT,154.27,Call,162.5,2023-06-23,2,0.2,0.25,0.3,0.26,5478,306,17.9,55.37%,0.090419,"11:12 ET"
U,38.24,Call,43,2023-06-23,2,0.11,0.11,0.12,0.11,18250,1161,15.72,118.33%,0.076488,"11:12 ET"
DBX,25.73,Put,25,2023-07-21,30,0.4,0.45,0.5,0.45,1723,119,14.48,26.53%,-0.335981,"11:04 ET"
COIN,57.74,Put,57,2023-06-23,2,1.16,1.2,1.24,1.22,7573,538,14.08,99.61%,-0.388584,"11:12 ET"
AVTR,19.83,Put,17.5,2023-08-18,58,0.3,0.43,0.55,0.4,11376,994,11.44,42.44%,-0.198354,"10:56 ET"
DELL,49.63,Call,50,2023-06-23,2,0.25,0.3,0.35,0.44,3381,314,10.77,35.95%,0.345463,"11:00 ET"
PDD,73.4,Call,78,2023-06-30,9,0.9,0.93,0.95,0.94,3212,306,10.5,55.16%,0.2567,"11:08 ET"
CAT,243.64,Call,245,2023-06-30,9,3.7,3.78,3.85,3.79,2371,235,10.09,25.38%,0.499537,"11:12 ET"
APLD,9.04,Call,11,2023-07-21,30,0.45,0.6,0.75,0.55,2150,224,9.6,117.64%,0.32986,"10:29 ET"
BA,210.04,Put,190,2023-07-28,37,1.82,2.03,2.24,1.92,1052,112,9.39,33.82%,-0.155292,"10:44 ET"
BILL,107.58,Put,107,2023-06-23,2,2,2.13,2.25,2.31,1158,128,9.05,70.43%,-0.475006,"11:10 ET"
NKLA,1.41,Call,0.5,2023-10-20,121,0.89,0.92,0.95,0.93,10040,1111,9.04,118.95%,0.969844,"10:56 ET"
PYPL,67.31,Call,67.5,2023-08-18,58,4.45,4.53,4.6,4.45,11792,1306,9.03,38.33%,0.556941,"11:11 ET"
AMD,112.93,Call,117,2023-06-23,2,0.53,0.54,0.55,0.55,5576,635,8.78,65.63%,0.188385,"11:12 ET"
AMD,112.93,Call,116,2023-06-23,2,0.71,0.72,0.73,0.73,9804,1139,8.61,64.87%,0.236984,"11:12 ET"
LI,34.93,Call,35.5,2023-06-23,2,0.39,0.4,0.4,0.4,1374,171,8.04,71.33%,0.338533,"11:08 ET"
UPST,30.83,Call,32,2023-06-23,2,0.7,0.72,0.74,0.74,2060,257,8.02,134.90%,0.369434,"11:12 ET"
MA,375.01,Call,395,2023-07-21,30,1.65,1.67,1.7,1.7,18849,2387,7.9,16.29%,0.181543,"11:12 ET"
AI,38.26,Call,40.5,2023-06-23,2,1.05,1.08,1.1,1.02,803,103,7.8,188.56%,0.332849,"11:12 ET"
MARA,12.25,Put,12.5,2023-06-23,2,0.73,0.75,0.76,0.74,3416,438,7.8,193.32%,-0.484246,"11:12 ET"
SBLK,18.25,Put,16,2023-08-18,58,0.45,0.5,0.55,0.5,1500,195,7.69,45.75%,-0.231926,"10:30 ET"
BP,35.49,Put,36,2023-06-30,9,0.79,0.8,0.82,0.81,1005,132,7.61,21.67%,-0.66931,"10:14 ET"
ENTG,105.02,Put,85,2023-08-18,58,0.95,1.15,1.35,1.16,2125,286,7.43,47.36%,-0.112029,"10:46 ET"
AMD,112.93,Call,113,2023-06-30,9,3,3.05,3.1,3.05,904,122,7.41,49.72%,0.472895,"11:10 ET"
PBR,14.8,Call,14.5,2023-07-28,37,0.83,0.85,0.87,0.87,1258,170,7.4,43.35%,0.553995,"11:08 ET"
TSLA,267.97,Call,372.5,2023-06-30,9,0.11,0.12,0.13,0.14,943,128,7.37,92.41%,0.009743,"10:59 ET"
AMD,112.93,Call,116,2023-06-30,9,1.98,1.99,2,1.95,1156,157,7.36,50.80%,0.347005,"11:12 ET"
CF,72.94,Call,72,2023-06-30,9,2.25,2.33,2.4,2.32,1436,197,7.29,40.48%,0.589695,"11:11 ET"
GOOGL,120.47,Call,121,2023-06-23,2,0.87,0.89,0.9,0.93,4485,642,6.99,32.64%,0.422338,"11:12 ET"
CAR,219.17,Call,230,2023-08-18,58,14.4,14.75,15.1,15.1,3069,442,6.94,53.22%,0.473422,"10:54 ET"
UBER,42.24,Call,34,2023-07-21,30,8.05,8.1,8.15,8.36,10000,1478,6.77,45.34%,0.955057,"10:48 ET"
NVDA,423.2,Put,465,2023-06-23,2,42.75,43.13,43.5,42.83,1500,222,6.76,58.34%,-0.989707,"11:12 ET"
UPS,173.76,Put,170,2023-06-30,9,0.71,0.73,0.75,0.74,1714,257,6.67,22.85%,-0.205958,"11:10 ET"
MARA,12.25,Call,13.5,2023-06-23,2,0.37,0.38,0.38,0.34,7160,1094,6.54,207.61%,0.325088,"11:12 ET"
CLF,16.24,Put,17.5,2023-06-30,9,1.36,1.38,1.4,1.37,1000,155,6.45,43.62%,-0.866513,"11:06 ET"
BABA,87.47,Put,84,2023-07-21,30,2.32,2.39,2.45,2.27,1044,162,6.44,39.02%,-0.345388,"10:49 ET"
SHOP,62.38,Call,64,2023-07-21,30,2.6,2.62,2.63,2.6,1073,167,6.43,47.00%,0.447498,"11:08 ET"
HIVE,3.79,Call,5,2023-07-21,30,0.1,0.13,0.15,0.15,832,131,6.35,111.33%,0.243427,"11:05 ET"
LULU,381.81,Put,380,2023-06-30,9,6.6,6.75,6.9,5.5,1174,185,6.35,26.02%,-0.52206,"11:00 ET"
DE,415.69,Call,420,2023-06-23,2,2.43,2.59,2.75,2.54,1577,254,6.21,29.02%,0.401588,"11:12 ET"
PTON,7.43,Call,7.5,2023-06-23,2,0.14,0.15,0.15,0.15,2437,396,6.15,100.64%,0.401153,"11:12 ET"
ADBE,479.66,Put,415,2023-08-18,58,4.5,4.6,4.7,4.54,1239,203,6.1,34.71%,-0.129586,"11:11 ET"
AMD,112.93,Put,103,2023-07-21,30,2.14,2.16,2.17,2.18,965,162,5.96,45.94%,-0.234414,"11:11 ET"
ADBE,479.66,Call,495,2023-06-30,9,5,5.13,5.25,5.27,1835,311,5.9,38.95%,0.289349,"11:11 ET"
PLTR,14.63,Put,10,2023-12-15,177,0.72,0.74,0.76,0.7,2042,346,5.9,72.84%,-0.151602,"10:51 ET"
MARA,12.25,Put,12,2023-06-30,9,0.94,0.97,0.99,0.98,895,153,5.85,156.34%,-0.392178,"11:09 ET"
AMD,112.93,Call,118,2023-06-23,2,0.41,0.42,0.42,0.42,11459,1958,5.85,66.90%,0.149608,"11:12 ET"
AMD,112.93,Call,114,2023-06-30,9,2.64,2.66,2.67,2.65,775,133,5.83,50.00%,0.428804,"11:11 ET"
TSLA,267.97,Call,345,2023-07-28,37,4,4.23,4.45,4.24,775,134,5.78,72.94%,0.148736,"11:09 ET"
COST,517.73,Call,555,2023-07-21,30,0.62,0.66,0.69,0.62,4001,693,5.77,14.24%,0.067513,"11:06 ET"
SGML,39.13,Put,35,2023-07-21,30,0.25,0.63,1,0.45,2200,382,5.76,43.77%,-0.163633,"10:31 ET"
SPOT,154.27,Call,165,2023-06-23,2,0.1,0.15,0.2,0.1,4341,763,5.69,54.33%,0.040564,"11:10 ET"
HAL,32.1,Call,39,2023-07-21,30,0.1,0.11,0.12,0.1,6153,1085,5.67,40.44%,0.063908,"10:38 ET"
AMZN,124.82,Call,140,2025-06-20,730,21.3,21.58,21.85,21.92,4715,833,5.66,33.13%,0.569432,"10:57 ET"
TSLA,267.97,Call,335,2023-07-21,30,4.15,4.2,4.25,4.05,3077,551,5.58,75.04%,0.156184,"11:11 ET"
