Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Delta,Time
$SPX,4273.79,Put,4295,6/5/2023,0,18.6,21.7,24.8,20.34,14766,124,119.08,13.05%,-0.763855,15:59 ET
$SPX,4273.79,Put,4280,6/5/2023,0,4.5,5.45,6.4,6,65599,721,90.98,2.72%,-0.867747,15:59 ET
$SPX,4273.79,Put,4275,6/5/2023,0,0.4,0.7,1,0.91,81797,1115,73.36,0.00%,0,15:59 ET
$SPX,4273.79,Put,4260,6/6/2023,1,4.2,4.35,4.5,4.7,7400,186,39.78,11.12%,-0.281363,16:14 ET
$SPX,4273.79,Put,4285,6/5/2023,0,9.3,10.5,11.7,11,41959,1079,38.89,4.81%,-0.858122,15:59 ET
$SPX,4273.79,Put,4290,6/5/2023,0,13,15.5,18,16,33648,976,34.48,8.64%,-0.798202,15:59 ET
$SPX,4273.79,Put,4290,6/6/2023,1,17.9,18.2,18.5,19.02,3662,112,32.7,8.90%,-0.789087,16:13 ET
$SPX,4273.79,Put,4300,6/5/2023,0,23.6,25.8,28,26.1,14268,466,30.62,11.71%,-0.841882,15:59 ET
$SPX,4273.79,Put,4270,6/6/2023,1,7.4,7.55,7.7,7.84,6359,209,30.43,10.71%,-0.42807,16:14 ET
$SPX,4273.79,Call,4345,6/6/2023,1,0.05,0.1,0.15,0.1,8374,293,28.58,13.40%,0.009868,16:13 ET
$SPX,4273.79,Put,4285,6/6/2023,1,14.7,14.95,15.2,15.45,5258,222,23.68,9.55%,-0.693929,16:14 ET
$SPX,4273.79,Put,3700,6/14/2023,9,0.25,0.35,0.45,0.36,7530,345,21.83,35.99%,-0.004663,15:53 ET
$SPX,4273.79,Put,4280,6/6/2023,1,11.9,12.1,12.3,12.55,5727,270,21.21,10.03%,-0.601024,16:14 ET
$SPX,4273.79,Put,4255,6/6/2023,1,3.1,3.25,3.4,3.5,3779,180,20.99,11.35%,-0.222046,16:14 ET
$SPX,4273.79,Put,4245,6/6/2023,1,1.55,1.65,1.75,1.7,4097,238,17.21,11.69%,-0.12959,16:14 ET
$SPX,4273.79,Call,4285,6/6/2023,1,6.1,6.25,6.4,6.12,7114,429,16.58,11.85%,0.345803,16:14 ET
$SPX,4273.79,Put,4235,6/6/2023,1,0.8,0.88,0.95,0.85,3838,245,15.67,12.05%,-0.070943,16:14 ET
$SPX,4273.79,Put,4275,6/6/2023,1,9.4,9.6,9.8,10.02,7141,458,15.59,10.36%,-0.512065,16:14 ET
$SPX,4273.79,Put,4300,6/6/2023,1,25.4,25.9,26.4,27.32,1798,119,15.11,7.68%,-0.948469,16:10 ET
$SPX,4273.79,Put,4145,6/6/2023,1,0.05,0.13,0.2,0.15,1466,100,14.66,24.52%,-0.008199,16:09 ET
$XSP,427.38,Put,428,6/5/2023,0,0.23,0.42,0.6,0.58,3475,254,13.68,0.00%,0,15:59 ET
$SPX,4273.79,Put,4310,6/5/2023,0,33,36.6,40.2,35.03,1591,118,13.48,18.58%,-0.806607,15:57 ET
$SPX,4273.79,Put,4275,6/7/2023,2,13.5,13.7,13.9,14.6,2020,156,12.95,10.78%,-0.502149,16:10 ET
$SPX,4273.79,Put,4200,6/26/2023,21,20.2,20.55,20.9,21,4032,327,12.33,12.93%,-0.256196,16:08 ET
$SPX,4273.79,Call,4315,6/12/2023,7,9.6,9.9,10.2,9.7,1697,147,11.54,10.02%,0.269451,16:12 ET
$SPX,4273.79,Put,4230,6/6/2023,1,0.55,0.63,0.7,0.62,4115,365,11.27,12.35%,-0.053054,16:14 ET
$VIX,14.73,Call,14,10/18/2023,135,0,0,0,7.23,1956,177,11.05,0.00%,0,16:05 ET
$SPX,4273.79,Put,4255,6/7/2023,2,6.4,6.6,6.8,7,1128,105,10.74,11.44%,-0.290191,16:11 ET
$SPX,4273.79,Call,4525,7/31/2023,56,9.9,10.2,10.5,12.6,1036,100,10.36,10.48%,0.120202,13:59 ET
$SPX,4273.79,Put,4265,6/7/2023,2,9.5,9.7,9.9,10,1713,169,10.14,11.17%,-0.389462,16:12 ET
