Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
COF,113.56,Call,125,2023-07-21,38,1,1.03,1.05,1.05,10868,112,97.04,30.41%,0.181384,"14:02 ET"
CAT,246.18,Call,252.5,2023-06-16,3,1.11,1.16,1.2,1.13,10980,130,84.46,37.15%,0.236276,"14:04 ET"
INTC,33.69,Call,27,2023-10-20,129,7.6,7.65,7.7,7.68,27020,324,83.4,46.57%,0.821189,"13:21 ET"
BMBL,17.67,Put,12.5,2023-10-20,129,0.45,0.48,0.5,0.5,14552,204,71.33,63.81%,-0.126228,"11:43 ET"
CCJ,31.56,Call,37,2023-09-15,94,0.79,0.81,0.83,0.9,10283,151,68.1,37.28%,0.249272,"13:32 ET"
FUTU,41.41,Put,25,2023-07-21,38,0.07,0.08,0.09,0.11,9013,135,66.76,80.78%,-0.01862,"11:56 ET"
CRM,209.66,Call,240,2023-06-23,10,0.18,0.19,0.2,0.2,9899,162,61.1,43.82%,0.034211,"13:54 ET"
TSLA,259.44,Put,257.5,2023-06-16,3,5.65,5.7,5.75,5.75,18850,354,53.25,66.36%,-0.46521,"14:05 ET"
CHPT,9.75,Call,11.5,2023-06-23,10,0.1,0.11,0.11,0.11,10811,231,46.8,92.53%,0.152265,"14:01 ET"
CCJ,31.56,Put,32,2023-07-21,38,1.63,1.65,1.66,1.62,7595,172,44.16,36.59%,-0.510984,"13:54 ET"
MANU,22.72,Put,20,2023-07-21,38,2.2,2.23,2.25,2.2,14615,383,38.16,125.21%,-0.300786,"14:05 ET"
NFLX,435.87,Put,430,2023-06-16,3,4.6,4.68,4.75,4.68,6801,179,37.99,42.95%,-0.386118,"14:04 ET"
TSLA,259.44,Put,253.33,2023-06-16,3,3.8,3.83,3.85,3.85,19470,524,37.16,65.40%,-0.358144,"14:04 ET"
TSLA,259.44,Put,257.5,2023-06-23,10,8.9,8.95,9,8.95,4609,133,34.65,55.82%,-0.463503,"14:04 ET"
ORCL,117.68,Put,125,2023-06-16,3,7.25,7.35,7.45,7.25,3225,100,32.25,34.23%,-0.975485,"14:01 ET"
AI,43.73,Put,44,2023-06-16,3,3.1,3.15,3.2,3.26,3555,125,28.44,156.74%,-0.554789,"14:03 ET"
FTCH,6.18,Call,6,2023-06-23,10,0.38,0.39,0.4,0.4,8250,304,27.14,82.32%,0.590844,"14:04 ET"
AMD,129.1,Put,135,2023-09-15,94,15.35,15.4,15.45,14.75,5364,203,26.42,47.50%,-0.524725,"13:07 ET"
AI,43.73,Put,42,2023-06-16,3,1.9,1.97,2.05,1.99,2569,104,24.7,152.30%,-0.424155,"14:04 ET"
TSLA,259.44,Call,290,2023-06-30,17,3.9,3.95,4,3.95,22413,950,23.59,61.48%,0.215225,"14:04 ET"
CHPT,9.75,Put,10,2023-06-23,10,0.69,0.7,0.71,0.71,5540,243,22.8,85.21%,-0.555391,"14:01 ET"
UPST,36.59,Call,40,2023-06-23,10,1.46,1.49,1.52,1.49,13441,594,22.63,120.91%,0.34308,"14:04 ET"
UPST,36.59,Call,38,2023-06-23,10,2,2.03,2.05,2.02,7945,355,22.38,116.52%,0.436171,"14:03 ET"
AI,43.73,Call,42.5,2023-06-16,3,2.2,2.28,2.35,2.3,3001,139,21.59,142.23%,0.541467,"14:03 ET"
NVDA,408.26,Put,397.5,2023-06-16,3,3.25,3.3,3.35,3.4,14706,704,20.89,49.44%,-0.283908,"14:03 ET"
CRM,209.66,Call,232.5,2023-06-23,10,0.32,0.33,0.34,0.34,7247,356,20.36,39.16%,0.059644,"13:45 ET"
TSLA,259.44,Put,195,2023-11-17,157,9.75,9.83,9.9,9.85,9499,487,19.51,57.24%,-0.161401,"13:03 ET"
NVDA,408.26,Put,410,2023-06-23,10,12.65,12.7,12.75,12.65,1998,104,19.21,42.60%,-0.518213,"14:04 ET"
CNHI,14.25,Call,15,2023-09-15,94,0.65,0.68,0.7,0.69,8425,453,18.6,31.68%,0.441896,"14:04 ET"
DIS,94.37,Put,94,2023-06-16,3,0.81,0.82,0.82,0.81,4469,242,18.47,26.98%,-0.456815,"14:04 ET"
TSLA,259.44,Put,255,2023-06-16,3,4.5,4.53,4.55,4.51,29935,1721,17.39,65.27%,-0.400192,"14:05 ET"
ORCL,117.68,Put,110,2023-07-07,24,0.52,0.54,0.56,0.58,1850,107,17.29,25.64%,-0.134376,"13:11 ET"
